Supplier Name,Total
Southern Electric Plc,"2661.99"
Pitney Bowes Management Services Ltd,"2652.26"
Calfordseaden,"2650.00"
Plan Personnel,"2628.75"
Outlook Fostering Services Ltd,"2622.60"
Draftcreate Ltd,"2603.91"
Extrafriend Ltd,"2598.51"
Whitworth Lodge,"2594.09"
Lyco Direct Ltd,"2565.36"
Prospect Housing & Support Services,"2559.00"
Family Care Homes Ltd,"2519.72"
Premier Care Ltd,"2513.45"
The Hornchurch Nursing Centre,"2480.00"
Freeway Lift Services,"2444.00"
Workspace Management Ltd,"2441.35"
Camden Lodge Residential Care Home,"2435.72"
Larkfield Hall Ltd,"2417.69"
Burnside Associates Limited,"2400.00"
Hyder Consulting Ltd,"2380.00"
Mornington Hall Nursing Home,"2377.27"
Handicare Accessibility Ltd,"2369.18"
CBS Outdoor Ltd,"2342.50"
Whippersnappers,"2333.50"
Volunteer Reading Help,"2333.00"
355 Clapham Road Management,"2328.85"
Julian Date,"2325.00"
Care and Residential Homes Ltd,"2281.15"
Nightingale House,"2254.15"
The Childrens Trust,"2252.00"
Price Direct Ltd,"2250.00"
Road Runner TCA Ltd,"2250.00"
Enmore Lodge Ltd,"2241.97"
Abbeyfield Society Ltd,"2238.48"
West Lodge Nursing & Residential Home,"2220.05"
Chrysalis Community Care Group Ltd,"2219.20"
Kilncroft Rest Home,"2218.93"
Abbeyfield Stangrove Lodge,"2199.40"
Anthony Gold Solicitors,"2173.24"
Roseacre Care Ltd,"2156.40"
Devonshire Partnership Ltd,"2140.00"
Cricklade House,"2126.25"
Tamaris South East Ltd,"2075.85"
Grove House Residential Care Home,"2057.52"
Oval Events Ltd,"2043.90"
Mears,"2043.36"
Richmond Upon Thames Churches Housing Trust,"2025.31"
Leys Park Care Centre,"2019.87"
Beverley Lodge Nursing Home,"2009.25"
Commhoist Ltd,"2000.00"
Livius Refurbishments,"2000.00"
The Type Archive,"2000.00"
Excelcare Ltd,"1984.14"
Saxon Court,"1983.60"
Freeways Trust Ltd,"1964.84"
Greenbushes Nursing Home,"1957.25"
The London Care Project,"1955.62"
Rusthall Lodge Nursing Home,"1919.60"
Supporting U Ltd,"1919.00"
Barchester Healthcare Ltd,"1910.05"
Broadlands Nursing Home,"1863.32"
Miss Barbara Frempong,"1826.00"
Cool Milk Ltd,"1822.80"
F & C Consulting Services,"1820.00"
2-3 Gray's Inn Square,"1800.00"
Cognetix Limited,"1800.00"
BPP Professional Education,"1767.15"
Beech Care Ltd,"1762.24"
Brightlights,"1755.40"
Charing Healthcare,"1753.72"
Commercial Skills Limited,"1750.00"
Steel & Shamash Solicitors,"1741.02"
Meadbank Nursing Centre,"1736.26"
Vermont Lodge,"1725.46"
Friends of Streatham Vale Park,"1722.97"
Nicholas James Care Homes Ltd,"1713.99"
Goldsborough Home Care,"1707.57"
Lambeth Accord,"1689.00"
New Century Care Ltd,"1688.04"
Cyclescheme Ltd,"1687.65"
British Gas,"1682.87"
The Avenue Nursing Home,"1669.35"
Contract Homes,"1661.00"
Kenwood Care Home,"1659.56"
Symantec Ltd,"1649.00"
God's Ports Housing Society Ltd,"1648.13"
Crofton Design,"1640.00"
LOCN,"1638.00"
Holmwood Nursing Home Ltd,"1625.83"
TCR Training Ltd,"1620.00"
Abbeyfield Dorcas Society,"1612.72"
"Weybourne Residential Care Home, Avante Partnership","1609.97"
Yara Enterprises Ltd,"1581.12"
Alastair Wilson,"1575.00"
Beckenham Management Services Ltd,"1575.00"
Joanna Youll,"1575.00"
Dawson & Son Electrical Contractors Ltd,"1570.00"
HSS Hire Service Group PLC,"1552.28"
Surrey Rest Homes Ltd,"1548.64"
Farmstead Nursing Home,"1547.91"
Grange Cottage Residential Home,"1529.01"
Rogers & Co Chartered Building Surveyors,"1515.00"
388 STREATHAM HUB LTD,"1500.00"
Lloyd Park Nursing Home,"1484.67"
Ploszajski Lynch Consulting Ltd,"1482.50"
Masters Legal Costs Services,"1479.76"
Mediworld Limited,"1479.33"
AME Disability Consultants Ltd,"1475.00"
Miss Tahmina Rahman,"1465.00"
RCP Landscapes Ltd,"1462.50"
Garth House Nursing Home,"1450.41"
Voice For The Child In Care,"1447.52"
All About Care,"1444.82"
Methodist Homes,"1441.72"
Hayes Court,"1437.74"
Addlestone Lodge,"1422.28"
Blake House,"1412.00"
St Helens Lodge,"1399.17"
Autumn Lodge Care Home,"1392.79"
Gillian Stringer,"1392.00"
Rosedale Residential Home,"1387.51"
Blue Rose Construction LTD,"1384.09"
Wernick Event Hire Ltd,"1375.00"
Sight and Sound,"1355.00"
Somerset Care,"1350.46"
Westholme Clinic Ltd,"1342.65"
Dudwell St. Mary Care Home,"1326.52"
Rosina Lodge Residential Home,"1325.25"
Surrey Heights,"1311.25"
Meadowside Building Development Ltd,"1305.42"
W F Howes Limited,"1299.88"
Foxley Lodge,"1296.01"
Coin Street Community Builders Ltd,"1295.00"
Dobbs Construction,"1282.00"
London South Bank University,"1280.33"
Hooklands Nursing Home,"1269.81"
Ashton Lodge,"1263.25"
Elizabeth Court Rest Home,"1262.63"
