Supplier Name,Sum of Invoice Nett Amount
Shaftesbury Homes & Arethusa,4639.88
Woodbar Ltd,4618.98
Nest Day Nursery,4600.00
Thornton Lodge Residential Home,4574.44
Norwood Ravenswood Services Ltd,4494.56
St Johns Nursing Home Ltd,4483.40
Guys & St Thomas NHS Trust,4479.76
Alexander Family Nursing Home,4470.51
F E Bright,4459.40
Tiny Giants Productions Ltd,4450.00
Monkey Puzzle Day Nurseries Ltd,4442.25
White Rose Care,4430.26
Royal Masonic Benevolent Institution,4420.28
Disability Adaptation Consultancy Services Ltd,4321.44
Avens Ltd,4305.44
East View Housing,4302.49
Stor-a-File Imaging Ltd,4283.86
Ziadies Solicitors,4264.79
Robert Owen Communities,4212.46
Hilldales Residential Care Homes,4207.14
Voyage,4206.88
R & A Software,4160.00
TTSP,4133.00
EnhanceAble,4111.09
Acorn Village,4103.66
Beacon House Nursing Home,4103.56
Nightingale House,4084.20
Frenchay Mews,4072.48
Masters Legal Costs Services,4033.38
Redwing Coaches,4020.00
International Visual Ltd,4015.00
Vauxhall Gardens Estate Residents and Tenants Association,4000.00
Triangle Adventure Playground Association,4000.00
Schoolfriendetc,4000.00
Ros Scherler,4000.00
Windmill Playgroup,3995.94
The Royal National Institute For Deaf People,3985.41
Dunheved Lodge,3975.10
Oval House,3950.00
The Complete Works Theatre Company Ltd,3940.00
Vangent Limited,3924.85
Community Housing & Therapy,3913.75
Scotts Project Trust,3906.96
Mr Michael Scharf,3900.00
Kids & Play Mobile Creche,3877.45
Mr Harold King,3870.00
Priory The Vines,3852.19
Graham House Residential Care Home,3846.17
St Michaels Fellowship,3843.13
Camilla Goddard,3831.00
Next Step Fostering,3804.14
BUPA Care Services,3780.31
Sunbeam Day Nursery,3772.78
Independent Lifestyle Options DCA Ltd,3764.29
The Dulwich Estate,3750.00
Mountway Ltd,3735.00
LaSCoT,3727.90
Terrance House,3715.66
Roughton London Ltd,3712.50
Shaftesbury Housing Group,3667.24
Dr K Nowak,3664.00
Cricklade House,3661.00
Peckham Lodge,3640.00
Felton Communication Ltd,3626.00
Big D Furniture Ltd,3624.00
Coin Street Community Builders Ltd,3570.00
Michael Hadi Associates Ltd,3568.60
St Georges Nursing Home,3565.00
The Fremantle Trust,3542.86
Focused Healthcare Ltd,3539.16
St Martins Community Centre,3517.00
Ruskin Private Hire,3507.50
Pinsent Masons Solicitors,3507.46
Waste Watch,3500.00
Improvement and Development Agency for Local Government,3500.00
GK Partners,3500.00
Gillett & Johnston (Croydon) Ltd,3500.00
Crystal Rest Home,3489.76
Synergy Fostering,3454.33
J S Estates Ltd,3451.50
Family Investment Four Ltd,3428.64
Diamond Couriers Limited,3423.83
Rosenmanor Residential Care Home,3421.74
Safety in Mind,3400.00
